date,time,location,wp,gps,lat,lon,cw1,cw2,ht,bd1,bd2,buds,flowers,pods,seeds,resprout,rhizobia,disturbed,bipinnate,notes
09/02/2012,NA,Tokai,109,NA,-34.059623,18.414896,0.03,0.025,0.135,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,110,NA,-34.059633,18.414914,0.045,0.025,0.19,0.002,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,111,NA,-34.059634,18.414915,0.035,0.01,0.21,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,112,NA,-34.059609,18.414954,0.035,0.04,0.2,0.002,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,113,NA,-34.05962,18.414964,0.1,0.055,0.59,0.004,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,114,NA,-34.059624,18.414983,0.2,0.11,0.6,0.004,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,115,NA,-34.059617,18.414998,0.085,0.03,0.21,0.002,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,116,NA,-34.059623,18.415011,0.065,0.02,0.14,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,117,NA,-34.059586,18.41503,0.1,0.06,0.23,0.003,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,118,NA,-34.059669,18.415,0.09,0.05,0.25,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,119,NA,-34.059686,18.414986,0.035,0.02,0.175,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,120,NA,-34.059686,18.414986,0.04,0.03,0.17,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
13/02/2014,NA,Tokai,2,C,-34.05947222,18.41536111,0.2,0.18,0.8,0.005,0.005,N,N,N,N,N,Y,NA,NA,Pulled
13/02/2014,NA,Tokai,3,C,-34.05944444,18.41533333,1.26,1.52,2.66,0.035,0.03,N,N,N,N,N,Y,NA,NA,standing
13/02/2014,NA,Tokai,4,C,-34.05943333,18.41533333,0.63,0.37,1.44,0.01,0.008,N,N,N,N,N,Y,NA,NA,standing
13/02/2014,NA,Tokai,5,C,-34.05946667,18.41531667,1.54,1.01,2.54,0.027,0.027,N,N,N,N,N,Y,NA,NA,standing
13/02/2014,NA,Tokai,6,C,-34.05948333,18.41523333,1.98,1.81,3.35,0.036,0.043,N,N,N,N,N,Y,NA,NA,standing
